path\\resolve-win32.js n=100000 paths='c:/blah\\\\blah|d:/games|c:../a'                                            1.28 %       ±2.20%  ±3.10%  ±4.42%
path\\toNamespacedPath-win32.js n=100000 path='c:/ignore'                                                          1.26 %       ±1.55%  ±2.12%  ±2.89%
path\\toNamespacedPath-win32.js n=100000 path='d:/games'                                                           1.25 %       ±1.43%  ±1.96%  ±2.67%
path\\parse-win32.js n=100000 path=''                                                                              1.19 %       ±4.79%  ±6.57%  ±8.97%
path\\basename-posix.js n=100000 pathext='foo'                                                                     1.13 %       ±3.13%  ±4.32%  ±5.94%
path\\resolve-posix.js n=100000 paths='|'                                                                          1.11 %       ±1.62%  ±2.22%  ±3.03%
path\\normalize-win32.js n=100000 path='C:\\\\foo\\\\bar'                                                          1.00 %       ±2.94%  ±4.09%  ±5.71%
path\\join-posix.js n=100000 paths='/foo|bar||baz/asdf|quux|..'                                                    0.97 %       ±2.00%  ±2.74%  ±3.75%
path\\extname-posix.js n=100000 path='/'                                                                           0.90 %       ±2.18%  ±2.99%  ±4.09%
path\\basename-win32.js n=100000 pathext=''                                                                        0.85 %       ±2.51%  ±3.44%  ±4.69%
path\\extname-win32.js n=100000 path='foo\\\\.bar.baz'                                                             0.84 %       ±1.64%  ±2.25%  ±3.06%
path\\makeLong-win32.js n=100000 path='\\\\\\\\?\\\\foo'                                                           0.84 %       ±2.56%  ±3.53%  ±4.85%
path\\isAbsolute-win32.js n=100000 path=''                                                                         0.80 %       ±3.86%  ±5.29%  ±7.21%
path\\relative-posix.js n=100000 paths='/foo/bar/baz/quux|/'                                                       0.70 %       ±2.12%  ±2.92%  ±4.02%
path\\parse-posix.js n=100000 path='foo/bar'                                                                       0.65 %       ±3.08%  ±4.23%  ±5.78%
path\\dirname-win32.js n=100000 path='foo'                                                                         0.64 %       ±3.91%  ±5.41%  ±7.50%
path\\parse-win32.js n=100000 path='E:\\\\foo\\\\bar.baz'                                                          0.63 %       ±2.42%  ±3.31%  ±4.52%
path\\parse-win32.js n=100000 path='foo\\\\.bar.baz'                                                               0.58 %       ±1.94%  ±2.66%  ±3.63%
path\\dirname-posix.js n=100000 path='/foo'                                                                        0.50 %       ±4.34%  ±5.95%  ±8.11%
path\\basename-win32.js n=100000 pathext='\\\\foo\\\\bar\\\\baz\\\\asdf\\\\quux.html|.html'                        0.47 %       ±3.03%  ±4.19%  ±5.82%
path\\toNamespacedPath-posix.js n=100000 path='/home/node/..'                                                      0.47 %       ±7.91% ±11.12% ±15.80%
path\\relative-posix.js n=100000 paths='/|/var'                                                                    0.46 %       ±2.07%  ±2.88%  ±4.04%
path\\parse-win32.js n=100000 path='\\\\foo\\\\bar\\\\baz\\\\asdf\\\\.quux'                                        0.40 %       ±1.04%  ±1.43%  ±1.95%
path\\basename-win32.js n=100000 pathext='foo\\\\bar.|.'                                                           0.37 %       ±3.43%  ±4.70%  ±6.41%
path\\basename-posix.js n=100000 pathext='/foo/bar/baz/asdf/quux.html|.html'                                       0.32 %       ±2.62%  ±3.62%  ±5.02%
path\\basename-win32.js n=100000 pathext='C:\\\\foo'                                                               0.13 %       ±2.68%  ±3.70%  ±5.09%
path\\isAbsolute-posix.js n=100000 path='/baz/..'                                                                  0.11 %       ±3.88%  ±5.33%  ±7.26%
path\\toNamespacedPath-win32.js n=100000 path='d:\\\\a/b\\\\c/d'                                                   0.10 %       ±1.55%  ±2.15%  ±2.97%
path\\basename-win32.js n=100000 pathext='foo'                                                                     0.06 %       ±5.17%  ±7.09%  ±9.68%
path\\normalize-win32.js n=100000 path='C:\\\\..\\\\'                                                              0.02 %       ±2.20%  ±3.02%  ±4.11%
path\\extname-win32.js n=100000 path='index'                                                                      -0.00 %       ±3.70%  ±5.18%  ±7.31%
path\\relative-posix.js n=100000 paths='/|/'                                                                       0.00 %       ±2.81%  ±3.86%  ±5.30%
path\\extname-posix.js n=100000 path='foo/bar/..baz.quux'                                                         -0.05 %       ±1.49%  ±2.05%  ±2.81%
path\\extname-posix.js n=100000 path='foo/bar/...baz.quux'                                                        -0.08 %       ±2.10%  ±2.89%  ±3.96%
path\\basename-posix.js n=100000 pathext='/foo/.bar.baz'                                                          -0.11 %       ±1.61%  ±2.22%  ±3.04%
path\\basename-posix.js n=100000 pathext='foo/bar.'                                                               -0.12 %       ±5.29%  ±7.29% ±10.04%
path\\extname-win32.js n=100000 path='index.html'                                                                 -0.16 %       ±1.97%  ±2.80%  ±4.05%
path\\join-win32.js n=100000 paths='C:\\\\foo|bar||baz\\\\asdf|quux|..'                                           -0.25 %       ±2.07%  ±2.85%  ±3.93%
path\\toNamespacedPath-win32.js n=100000 path='\\\\e.exe'                                                         -0.28 %       ±2.28%  ±3.17%  ±4.43%
path\\extname-win32.js n=100000 path=''                                                                           -0.31 %       ±8.38% ±11.51% ±15.74%
path\\relative-posix.js n=100000 paths='/var|/bin'                                                                -0.38 %       ±2.55%  ±3.53%  ±4.89%
path\\extname-posix.js n=100000 path='/foo'                                                                       -0.49 %       ±4.64%  ±6.36%  ±8.66%
path\\relative-win32.js n=100000 paths='C:\\\\|D:\\\\'                                                            -0.61 %       ±1.55%  ±2.13%  ±2.92%
path\\parse-win32.js n=100000 path='C:\\\\'                                                                       -0.65 %       ±2.93%  ±4.02%  ±5.49%
path\\normalize-win32.js n=100000 path='C:\\\\foo\\\\bar\\\\\\\\baz\\\\asdf\\\\quux\\\\..'                        -0.85 %       ±1.95%  ±2.72%  ±3.81%
path\\extname-win32.js n=100000 path='D:\\\\foo\\\\bar\\\\baz\\\\asdf\\\\quux'                                    -0.86 %       ±2.75%  ±3.86%  ±5.46%
path\\resolve-posix.js n=100000 paths='a/b/c/|../../..'                                                           -1.05 %       ±1.62%  ±2.25%  ±3.12%
path\\extname-win32.js n=100000 path='C:\\\\foo'                                                                  -1.08 %       ±3.19%  ±4.43%  ±6.19%
path\\parse-posix.js n=100000 path='/'                                                                            -1.30 %       ±3.48%  ±4.78%  ±6.54%
path\\basename-posix.js n=100000 pathext='/foo/bar/baz/asdf/quux.html'                                            -1.38 %       ±3.00%  ±4.14%  ±5.69%
path\\format-posix.js n=1000000 props='/|/home/user/dir|index.html|.html|index'                                   -1.57 %       ±4.70%  ±6.71%  ±9.77%
path\\basename-posix.js n=100000 pathext='/foo'                                                                   -1.99 %       ±4.35%  ±6.03%  ±8.38%
path\\toNamespacedPath-posix.js n=100000 path='bar/baz'                                                           -2.01 %       ±3.56%  ±5.02%  ±7.17%
path\\basename-posix.js n=100000 pathext=''                                                                       -2.33 %       ±8.42% ±11.62% ±16.03%
path\\dirname-win32.js n=100000 path=''                                                                           -3.90 %       ±4.76%  ±6.55%  ±8.97%
